track_popularity,playlist_genre,playlist_subgenre,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,duration_m,year,mouth,day,day_1_2_3,mouth_1_2_3_4
66,2,3,0.748,0.916,-2.634,1,0.0583,0.102,0.0,0.518,122.036,3,2019,6,14,2,4
67,2,3,0.726,0.815,-4.969,1,0.0373,0.0724,0.00421,0.693,99.972,3,2019,12,13,2,2
70,2,3,0.675,0.931,-3.432,0,0.0742,0.0794,2.33e-05,0.613,124.008,3,2019,7,5,1,4
60,2,3,0.718,0.93,-3.778,1,0.102,0.0287,9.43e-06,0.277,121.956,3,2019,7,19,2,4
69,2,3,0.65,0.833,-4.672,1,0.0359,0.0803,0.0,0.725,123.976,3,2019,3,5,1,3
67,2,3,0.675,0.919,-5.385,1,0.127,0.0799,0.0,0.585,124.982,3,2019,7,11,2,4
62,2,3,0.449,0.856,-4.788,0,0.0623,0.187,0.0,0.152,112.648,3,2019,7,26,3,4
69,2,3,0.542,0.903,-2.419,0,0.0434,0.0335,4.83e-06,0.367,127.936,3,2019,8,29,3,4
68,2,3,0.594,0.935,-3.562,1,0.0565,0.0249,3.97e-06,0.366,127.015,3,2019,6,14,2,4
67,2,3,0.642,0.818,-4.552,1,0.032,0.0567,0.0,0.59,124.957,4,2019,6,20,2,4
58,2,3,0.679,0.923,-6.5,1,0.181,0.146,4.92e-06,0.752,121.984,3,2019,6,21,3,4
67,2,3,0.437,0.774,-4.918,1,0.0554,0.148,0.0,0.329,123.125,3,2019,8,16,2,4
67,2,3,0.744,0.726,-4.675,1,0.0463,0.0399,0.0,0.687,121.985,3,2019,3,29,3,3
68,2,3,0.572,0.915,-4.451,0,0.0625,0.0111,0.0,0.678,123.919,3,2019,5,17,2,3
63,2,3,0.69,0.78,-4.446,0,0.0594,0.00733,0.00183,0.238,126.07,4,2019,7,12,2,4
66,2,3,0.805,0.835,-4.603,1,0.0896,0.13,5.03e-06,0.722,125.028,3,2019,12,11,2,2
60,2,3,0.694,0.901,-4.322,0,0.0948,0.0702,0.0,0.368,118.051,3,2019,5,3,1,3
65,2,3,0.678,0.747,-5.289,0,0.165,0.0395,0.0,0.516,120.002,3,2018,12,28,3,2
69,2,3,0.746,0.557,-6.722,1,0.0542,0.103,0.0036,0.324,111.961,3,2019,3,8,1,3
35,2,3,0.467,0.821,-5.466,1,0.0934,0.00791,0.000441,0.232,122.676,3,2019,10,18,2,1
70,2,3,0.572,0.934,-5.053,0,0.0446,0.00292,0.0198,0.204,125.948,4,2019,8,23,3,4
64,2,3,0.708,0.913,-4.329,0,0.0348,0.089,0.081,0.707,135.016,3,2019,8,23,3,4
62,2,3,0.684,0.818,-4.477,0,0.128,0.0469,3.39e-06,0.336,123.938,4,2019,5,8,1,3
70,2,3,0.732,0.85,-5.999,1,0.0444,0.114,2.02e-06,0.372,124.024,3,2019,10,25,3,1
58,2,3,0.62,0.889,-3.785,1,0.0352,0.0163,1.86e-05,0.422,110.018,3,2019,5,24,3,3
63,2,3,0.675,0.76,-7.037,1,0.0434,0.104,0.0,0.468,124.933,3,2019,6,21,3,4
66,2,3,0.682,0.851,-7.117,0,0.0363,0.0146,0.000834,0.348,126.0,3,2019,8,9,1,4
8,2,3,0.663,0.905,-3.781,0,0.0511,0.0325,0.0,0.397,125.996,3,2019,2,1,1,2
62,2,3,0.625,0.938,-3.983,1,0.0517,0.00432,0.00026,0.371,127.997,3,2019,5,23,3,3
30,2,3,0.679,0.909,-2.929,1,0.105,0.0334,0.0,0.819,119.885,3,2019,4,19,2,3
56,2,3,0.641,0.869,-4.754,1,0.0423,0.0319,0.00131,0.358,128.091,3,2019,11,1,1,1
56,2,3,0.702,0.814,-7.51,0,0.0841,0.107,3.03e-05,0.503,121.993,3,2018,11,30,3,1
58,2,3,0.723,0.837,-6.487,1,0.0389,0.0103,0.000477,0.643,123.952,3,2018,11,23,3,1
60,2,3,0.742,0.864,-5.06,1,0.0976,0.00141,0.00467,0.727,125.032,3,2019,9,5,1,1
60,2,3,0.716,0.815,-4.121,1,0.0533,0.108,0.0,0.351,124.975,4,2019,11,22,3,1
55,2,3,0.748,0.831,-5.029,1,0.115,0.0823,7.36e-05,0.894,128.024,3,2019,6,21,3,4
59,2,3,0.816,0.833,-5.972,1,0.0511,0.126,9.09e-06,0.793,122.032,3,2018,11,30,3,1
63,2,3,0.633,0.854,-4.046,0,0.0432,0.0382,2.83e-05,0.659,126.026,3,2018,7,25,3,4
67,2,3,0.563,0.81,-2.921,1,0.0522,0.00522,0.0,0.495,129.975,4,2019,7,12,2,4
55,2,3,0.728,0.815,-2.878,0,0.046,0.00223,0.000317,0.681,124.019,4,2019,6,27,3,4
56,2,3,0.846,0.773,-3.503,1,0.0473,0.0141,2.23e-05,0.586,124.008,3,2019,10,25,3,1
87,2,3,0.693,0.678,-7.159,1,0.0324,0.0154,6.05e-06,0.404,103.952,4,2019,6,28,3,4
62,2,3,0.678,0.928,-3.66,0,0.0597,0.0303,3.33e-05,0.663,116.892,3,2019,10,18,2,1
83,2,3,0.67,0.453,-11.265,1,0.295,0.252,0.33,0.68,135.055,3,2019,7,11,2,4
55,2,3,0.755,0.931,-4.104,0,0.0606,0.132,0.0271,0.288,122.041,3,2019,11,1,1,1
61,2,3,0.622,0.859,-7.626,1,0.0636,0.000609,0.746,0.442,121.968,4,2019,5,24,3,3
56,2,3,0.789,0.893,-4.364,0,0.168,0.0538,0.0,0.41,121.956,2,2019,10,25,3,1
57,2,3,0.64,0.838,-4.203,1,0.0416,0.0588,1.99e-05,0.587,124.081,3,2019,8,9,1,4
